# New data format
LHCb 19
beam = pp
ecm = 13000
pdferror = uncorrelated
# QMin QMax ymin ymax pT pTmin pTmax data uncorr_error pdf_error yk efficiency corr_1 corr_2 etc.
60.0000  120.0000  2.00  4.50  1.1000    0.00001   2.2000    5.700E+00  3.000E-02   3.19969   0.11907   0.00792   1.404  1.930
60.0000  120.0000  2.00  4.50  2.8000    2.2000    3.4000    1.107E+01  5.000E-02   2.96115   0.68923   0.00791   1.445  1.987
60.0000  120.0000  2.00  4.50  4.0000    3.4000    4.6000    1.144E+01  5.000E-02   2.73699   0.86279   0.00790   1.399  2.010
60.0000  120.0000  2.00  4.50  5.2000    4.6000    5.8000    1.128E+01  5.000E-02   2.55683   0.97531   0.00787   1.330  2.039
60.0000  120.0000  2.00  4.50  6.5000    5.8000    7.2000    9.940E+00  4.000E-02   2.40535   1.06115   0.00786   1.107  2.012
60.0000  120.0000  2.00  4.50  7.9500    7.2000    8.7000    8.860E+00  4.000E-02   2.2733    1.13098   0.00787   1.354  2.032
60.0000  120.0000  2.00  4.50  9.6000    8.7000    10.5000   7.750E+00  3.000E-02   2.15484   1.18996   0.00785   1.161  1.935
60.0000  120.0000  2.00  4.50  11.6500   10.5000   12.8000   6.440E+00  3.000E-02   2.03737   1.24414   0.00786   1.087  2.019
60.0000  120.0000  2.00  4.50  14.1000   12.8000   15.4000   5.160E+00  2.000E-02   1.92702   1.29140   0.00787   0.969  1.938
60.0000  120.0000  2.00  4.50  17.2000   15.4000   19.0000   4.030E+00  2.000E-02   1.81872   1.33426   0.00788   0.993  1.985
