# New data format
ATLAS_Rapidity 18
beam = pp
ecm = 8000
pdferror = correlated
# QMin QMax ymin ymax pT pTmin pTmax data uncorr_error yk efficiency corr_1 corr_2 etc.
66.0  116.0  0.0 0.4  1.000  0.00001  2.0000  3.257E+00  1.174E-02    -0.255E-01  0.02848    0.90  3.0  8.99 0.00 0.00 0.00 0.00 0.00  
66.0  116.0  0.0 0.4  3.000  2.0000  4.0000  6.708E+00  1.500E-02     0.671       0.02820    0.60  3.0  8.33 0.00 0.00 0.00 0.00 0.00
66.0  116.0  0.0 0.4  5.000  4.0000  6.0000  6.714E+00  1.501E-02     0.914       0.02794    0.60  3.0  7.20 0.00 0.00 0.00 0.00 0.00
66.0  116.0  0.0 0.4  7.000  6.0000  8.0000  5.886E+00  1.316E-02     1.045       0.02768    0.60  3.0  6.25 0.00 0.00 0.00 0.00 0.00
66.0  116.0  0.0 0.4  9.000  8.0000  10.000  4.926E+00  1.558E-02     1.129       0.02736    0.60  3.0  5.57 0.00 0.00 0.00 0.00 0.00
66.0  116.0  0.0 0.4 11.500  10.000  13.000  3.919E+00  8.763E-03     1.199       0.02704   0.60  3.0  4.99 0.00 0.00 0.00 0.00 0.00
66.0  116.0  0.0 0.4 14.500  13.000  16.000  3.019E+00  9.547E-03     1.254       0.02682   0.60  3.0  4.53 0.00 0.00 0.00 0.00 0.00
66.0  116.0  0.0 0.4 18.000  16.000  20.000  2.280E+00  5.098E-03     1.296       0.02644   0.60  3.0  4.15 0.00 0.00 0.00 0.00 0.00 
66.0  116.0  0.4 0.8  1.000  0.00001  2.0000  3.219E+00  1.161E-02    -0.167E-01  0.02846    0.90  3.0  0.00 8.05 0.00 0.00 0.00 0.00  
66.0  116.0  0.4 0.8  3.000  2.0000  4.0000  6.676E+00  1.493E-02     0.678       0.02822    0.60  3.0  0.00 7.44 0.00 0.00 0.00 0.00  
66.0  116.0  0.4 0.8  5.000  4.0000  6.0000  6.737E+00  1.506E-02     0.919       0.02797    0.60  3.0  0.00 6.51 0.00 0.00 0.00 0.00  
