# New data format
ATLAS_Rapidity 18
beam = pp
ecm = 8000
pdferror = uncorrelated
# QMin QMax ymin ymax pT pTmin pTmax data uncorr_error pdf_error yk efficiency corr_1 corr_2 etc.
66.0  116.0  0.0 0.4  1.000  0.00001  2.0000  3.257E+00  1.174E-02   8.99  -0.255E-01  0.02848    0.90  3.0 
66.0  116.0  0.0 0.4  3.000  2.0000  4.0000  6.708E+00  1.500E-02   8.33   0.671       0.02820    0.60  3.0 
66.0  116.0  0.0 0.4  5.000  4.0000  6.0000  6.714E+00  1.501E-02   7.20   0.914       0.02794    0.60  3.0 
66.0  116.0  0.0 0.4  7.000  6.0000  8.0000  5.886E+00  1.316E-02   6.25   1.045       0.02768    0.60  3.0 
66.0  116.0  0.0 0.4  9.000  8.0000  10.000  4.926E+00  1.558E-02   5.57   1.129       0.02736    0.60  3.0 
66.0  116.0  0.0 0.4 11.500  10.000  13.000  3.919E+00  8.763E-03   4.99   1.199       0.02704   0.60  3.0  
66.0  116.0  0.0 0.4 14.500  13.000  16.000  3.019E+00  9.547E-03   4.53   1.254       0.02682   0.60  3.0  
66.0  116.0  0.0 0.4 18.000  16.000  20.000  2.280E+00  5.098E-03   4.15   1.296       0.02644   0.60  3.0  
66.0  116.0  0.4 0.8  1.000  0.00001  2.0000  3.219E+00  1.161E-02   8.05  -0.167E-01  0.02846    0.90  3.0 
66.0  116.0  0.4 0.8  3.000  2.0000  4.0000  6.676E+00  1.493E-02   7.44   0.678       0.02822    0.60  3.0 
66.0  116.0  0.4 0.8  5.000  4.0000  6.0000  6.737E+00  1.506E-02   6.51   0.919       0.02797    0.60  3.0 
66.0  116.0  0.4 0.8  7.000  6.0000  8.0000  5.872E+00  1.857E-02   5.57   1.050       0.02768    0.60  3.0 
66.0  116.0  0.4 0.8  9.000  8.0000  10.000  4.863E+00  1.538E-02   5.00   1.134       0.02744    0.60  3.0 
66.0  116.0  0.4 0.8 11.500  10.000  13.000  3.893E+00  8.705E-03   4.52   1.203       0.02712   0.60  3.0  
66.0  116.0  0.4 0.8 14.500  13.000  16.000  2.995E+00  9.471E-03   4.06   1.258       0.02677   0.60  3.0  
66.0  116.0  0.4 0.8 18.000  16.000  20.000  2.266E+00  7.166E-03   3.68   1.299       0.02644   0.60  3.0  
66.0  116.0  0.8 1.2  1.000  0.00001  2.0000  3.122E+00  1.396E-02   6.88   0.203E-02  0.02771    0.90  3.0 
66.0  116.0  0.8 1.2  3.000  2.0000  4.0000  6.462E+00  1.445E-02   6.40   0.691       0.02759    0.70  3.0 
66.0  116.0  0.8 1.2  5.000  4.0000  6.0000  6.548E+00  1.464E-02   5.53   0.930       0.02739    0.60  3.0 
66.0  116.0  0.8 1.2  7.000  6.0000  8.0000  5.647E+00  1.786E-02   4.72   1.060       0.02719    0.60  3.0 
66.0  116.0  0.8 1.2  9.000  8.0000  10.000  4.716E+00  1.491E-02   4.21   1.142       0.02702    0.60  3.0 
66.0  116.0  0.8 1.2 11.500  10.000  13.000  3.735E+00  1.181E-02   3.85   1.211       0.02663   0.60  3.0  
66.0  116.0  0.8 1.2 14.500  13.000  16.000  2.901E+00  9.174E-03   3.46   1.265       0.02642   0.60  3.0  
66.0  116.0  0.8 1.2 18.000  16.000  20.000  2.173E+00  6.872E-03   3.13   1.306       0.02609   0.60  3.0  
66.0  116.0  1.2 1.6  1.000  0.00001  2.0000  2.563E+00  1.146E-02   6.07   0.280E-01  0.02281    0.90  3.0 
66.0  116.0  1.2 1.6  3.000  2.0000  4.0000  5.341E+00  1.689E-02   5.64   0.710       0.02288    0.70  3.0 
66.0  116.0  1.2 1.6  5.000  4.0000  6.0000  5.332E+00  1.922E-02   4.80   0.946       0.02292    0.60  3.0 
66.0  116.0  1.2 1.6  7.000  6.0000  8.0000  4.647E+00  1.470E-02   4.10   1.074       0.02294    0.50  3.0 
66.0  116.0  1.2 1.6  9.000  8.0000  10.000  3.923E+00  1.414E-02   3.69   1.155       0.02295    0.50  3.0 
66.0  116.0  1.2 1.6 11.500  10.000  13.000  3.152E+00  9.967E-03   3.25   1.223       0.02298   0.40  3.0  
66.0  116.0  1.2 1.6 14.500  13.000  16.000  2.443E+00  7.725E-03   2.90   1.276       0.02305   0.50  3.0  
66.0  116.0  1.2 1.6 18.000  16.000  20.000  1.847E+00  5.841E-03   2.66   1.317       0.02285   0.50  3.0  
66.0  116.0  1.6 2.0  1.000  0.00001  2.0000  1.639E+00  9.557E-03   5.65   0.626E-01  0.01484    1.00  3.0 
66.0  116.0  1.6 2.0  3.000  2.0000  4.0000  3.394E+00  1.224E-02   5.18   0.734       0.01486    0.80  3.0 
66.0  116.0  1.6 2.0  5.000  4.0000  6.0000  3.417E+00  1.232E-02   4.37   0.967       0.01488    0.50  3.0 
66.0  116.0  1.6 2.0  7.000  6.0000  8.0000  2.942E+00  1.061E-02   3.73   1.092       0.01501    0.70  3.0 
66.0  116.0  1.6 2.0  9.000  8.0000  10.000  2.472E+00  1.106E-02   3.25   1.172       0.01499    0.50  3.0 
66.0  116.0  1.6 2.0 11.500  10.000  13.000  2.001E+00  7.215E-03   2.93   1.239       0.01514   0.50  3.0  
66.0  116.0  1.6 2.0 14.500  13.000  16.000  1.568E+00  7.012E-03   2.60   1.291       0.01535   0.50  3.0  
66.0  116.0  1.6 2.0 18.000  16.000  20.000  1.205E+00  5.389E-03   2.31   1.331       0.01560   0.50  3.0  
66.0  116.0  2.0 2.4  1.000  0.00001  2.0000  5.629E-01  5.035E-03   5.27   0.106      0.00511    1.60  3.0 
66.0  116.0  2.0 2.4  3.000  2.0000  4.0000  1.141E+00  6.653E-03   4.81   0.767       0.00503    1.10  3.0 
66.0  116.0  2.0 2.4  5.000  4.0000  6.0000  1.120E+00  7.513E-03   3.99   0.994       0.00507    0.70  3.0 
66.0  116.0  2.0 2.4  7.000  6.0000  8.0000  9.583E-01  6.428E-03   3.33   1.117       0.00508    0.80  3.0 
66.0  116.0  2.0 2.4  9.000  8.0000  10.000  8.113E-01  5.442E-03   2.88   1.195       0.00521    0.70  3.0 
66.0  116.0  2.0 2.4 11.500  10.000  13.000  6.506E-01  4.364E-03   2.58   1.260       0.00532   0.60  3.0  
66.0  116.0  2.0 2.4 14.500  13.000  16.000  5.041E-01  4.064E-03   2.29   1.312       0.00532   0.60  3.0  
66.0  116.0  2.0 2.4 18.000  16.000  20.000  3.939E-01  2.642E-03   2.06   1.352       0.00541   0.60  3.0  
